Year,Rank,Title,Studio,Worldwide,Domestic,Overseas,Category,Link
2014,12,How to Train Your Dragon 2,Fox,621.5,177.0,444.5,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=howtotrainyourdragon2.htm
2014,13,American Sniper,WB,547.4,350.1,197.3,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=americansniper.htm
2014,14,Godzilla (2014),WB,529.1,200.7,328.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=godzilla2012.htm
2014,15,Rio 2,Fox,500.1,131.5,368.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=rio2.htm
2014,16,Teenage Mutant Ninja Turtles (2014),Par.,493.3,191.2,302.1,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=tmnt2013.htm
2014,17,The LEGO Movie,WB,469.2,257.8,211.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=lego.htm
2014,18,Lucy,Uni.,463.4,126.7,336.7,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=lucy.htm
2014,19,Penguins of Madagascar,Fox,373.0,83.4,289.7,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=penguinsofmadagascar.htm
2014,20,Edge of Tomorrow,WB,370.5,100.2,270.3,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=allyouneediskill.htm
2014,21,Gone Girl,Fox,369.3,167.8,201.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=gonegirl.htm
2014,22,Night at the Museum: Secret of the Tomb,Fox,363.2,113.7,249.5,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=nightatthemuseum3.htm
2014,23,Noah,Par.,362.6,101.2,261.4,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=noah.htm
2014,24,The Maze Runner,Fox,348.3,102.4,245.9,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=mazerunner.htm
2014,25,300: Rise of An Empire,WB,337.6,106.6,231.0,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=300sequel.htm
2014,26,22 Jump Street,Sony,331.3,191.7,139.6,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=21jumpstreet2.htm
2014,27,The Fault in our Stars,Fox,307.2,124.9,182.3,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=faultinourstars.htm
2014,28,Divergent,LG/S,288.9,150.9,137.9,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=divergent.htm
2014,29,Mr. Peabody  Sherman,Fox,275.7,111.5,164.2,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=mrpeabodyandsherman.htm
2014,30,Neighbors,Uni.,270.7,150.2,120.5,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=townies.htm
2014,31,Exodus: Gods and Kings,Fox,268.2,65.0,203.2,Top1to50,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=exodus.htm
